n,character,pinyin
626,年级,niánjí
627,年龄,niánlíng
628,年轻,niánqīng
629,鸟,niǎo
630,您,nín
631,牛奶,niúnǎi
632,农村,nóngcūn
633,弄,nòng
634,努力,nǔlì
635,暖和,nuǎnhuo
636,女儿,nǚ'ér
637,女人,nǚrén
638,偶尔,ǒu'ěr
639,爬山,páshān
640,排列,páiliè
641,盘子,pánzi
642,判断,pànduàn
643,旁边,pángbiān
644,胖,pàng
645,跑步,pǎobù
646,陪,péi
647,朋友,péngyou
648,批评,pīpíng
649,皮肤,pífū
650,啤酒,píjiǔ
651,脾气,píqi
652,篇,piān
653,便宜,piányi
654,骗,piàn
655,票,piào
656,漂亮,piàoliang
657,乒乓球,pīngpāngqiú
658,苹果,píngguǒ
659,平时,píngshí
660,瓶子,píngzi
661,破,pò
662,葡萄,pútao
663,普遍,pǔbiàn
664,普通话,pǔtōnghuà
665,七,qī
666,妻子,qīzi
667,骑,qí
668,其次,qícì
669,其实,qíshí
670,其他,qítā
671,其中,qízhōng
672,奇怪,qíguài
673,起床,qǐchuáng
674,起飞,qǐfēi
675,起来,qǐlái
676,气候,qìhòu
677,千,qiān
678,千万,qiānwàn
679,铅笔,qiānbǐ
680,签证,qiānzhèng
681,钱,qián
682,前面,qiánmiàn
683,墙,qiáng
684,敲,qiāo
685,桥,qiáo
686,巧克力,qiǎokèlì
687,亲戚,qīnqi
688,轻,qīng
689,轻松,qīngsōng
690,清楚,qīngchu
691,晴,qíng
692,情况,qíngkuàng
693,请,qǐng
694,请假,qǐngjià
695,请客,qǐngkè
696,穷,qióng
697,秋,qiū
698,区别,qūbié
699,取,qǔ
700,去,qù
701,去年,qùnián
702,全部,quánbù
703,缺点,quēdiǎn
704,缺少,quēshǎo
705,却,què
706,确实,quèshí
707,群,qún
708,裙子,qúnzi
709,然而,rán'ér
710,然后,ránhòu
711,让,ràng
712,热,rè
713,热闹,rènao
714,热情,rèqíng
715,人,rén
716,人民币,rénmínbì
717,任何,rènhé
718,任务,rènwu
719,认识,rènshi
720,认为,rènwéi
721,认真,rènzhēn
722,扔,rēng
723,仍然,réngrán
724,日,rì
725,日记,rìjì
726,容易,róngyì
727,如果,rúguǒ
728,入口,rùkǒu
729,软,ruǎn
730,三,sān
731,伞,sǎn
732,散步,sànbù
733,森林,sēnlín
734,沙发,shāfā
735,商店,shāngdiàn
736,商量,shāngliang
737,伤心,shāngxīn
738,上,shàng
739,上班,shàngbān
740,上网,shàngwǎng
741,上午,shàngwǔ
742,稍微,shāowēi
743,少,shǎo
744,社会,shèhuì
745,谁,shéi
746,深,shēn
747,申请,shēnqǐng
748,身体,shēntǐ
749,什么,shénme
750,甚至,shènzhì
751,生病,shēngbìng
752,生活,shēnghuó
753,生命,shēngmìng
754,生气,shēngqì
755,生日,shēngrì
756,声音,shēngyīn
757,省,shěng
758,剩,shèng
759,失败,shībài
760,失望,shīwàng
761,师傅,shīfu
762,湿润,shīrùn
763,狮子,shīzi
764,十,shí
765,十分,shífēn
766,时候,shíhou
767,时间,shíjiān
768,实际,shíjì
769,实在,shízài
770,食品,shípǐn
771,使,shǐ
772,使用,shǐyòng
773,是,shì
774,试,shì
775,市场,shìchǎng
776,适合,shìhé
777,适应,shìyìng
778,世纪,shìjì
779,世界,shìjiè
780,事情,shìqing
781,收,shōu
782,收入,shōurù
783,收拾,shōushi
784,手表,shǒubiǎo
785,手机,shǒujī
786,首都,shǒudū
787,首先,shǒuxiān
788,瘦,shòu
789,受不了,shòubuliǎo
790,受到,shòudào
791,售货员,shòuhuòyuán
792,书,shū
793,输,shū
794,舒服,shūfu
795,叔叔,shūshu
796,熟悉,shúxī
797,树,shù
798,数量,shùliàng
799,数学,shùxué
800,数字,shùzì
801,刷牙,shuā yá
802,帅,shuài
803,双,shuāng
804,水,shuǐ
805,水果,shuǐguǒ
806,水平,shuǐpíng
807,睡觉,shuìjiào
808,顺便,shùnbiàn
809,顺利,shùnlì
810,顺序,shùnxù
811,说话,shuōhuà
812,说明,shuōmíng
813,硕士,shuòshì
814,司机,sījī
815,死,sǐ
816,四,sì
817,送,sòng
818,速度,sùdù
819,塑料袋,sùliàodài
820,酸,suān
821,算,suàn
822,虽然,suīrán
823,随便,suíbiàn
824,随着,suízhe
825,岁,suì
826,孙子,sūnzi
827,所以,suǒyǐ
828,所有,suǒyǒu
829,他,tā
830,她,tā
831,它,tā
832,台,tái
833,抬,tái
834,太,tài
835,太阳,tàiyáng
836,态度,tàidu
837,谈,tán
838,弹钢琴,tán gāngqín
839,汤,tāng
840,糖,táng
841,躺,tǎng
842,趟,tàng
843,讨论,tǎolùn
844,讨厌,tǎoyàn
845,特别,tèbié
846,特点,tèdiǎn
847,疼,téng
848,踢足球,tī zúqiú
849,题,tí
850,提高,tígāo
851,提供,tígōng
852,提前,tíqián
853,提醒,tíxǐng
854,体育,tǐyù
855,天气,tiānqì
856,甜,tián
857,填空,tiánkòng
858,条,tiáo
859,条件,tiáojiàn
860,跳舞,tiàowǔ
861,听,tīng
862,停止,tíngzhǐ
863,挺,tǐng
864,通过,tōngguò
865,通知,tōngzhī
866,同情,tóngqíng
867,同事,tóngshì
868,同学,tóngxué
869,同意,tóngyì
870,头发,tóufa
871,突然,tūrán
872,图书馆,túshūguǎn
873,推,tuī
874,推迟,tuīchí
875,腿,tuǐ
876,脱,tuō
877,袜子,wàzi
878,外,wài
879,玩,wán
880,完,wán
881,完成,wánchéng
882,完全,wánquán
883,碗,wǎn
884,晚上,wǎnshang
885,万,wàn
886,往,wǎng
887,往往,wǎngwǎng
888,网球,wǎngqiú
889,网站,wǎngzhàn
890,忘记,wàngjì
891,危险,wēixiǎn
892,喂,wèi
893,位,wèi
894,为,wèi
895,为了,wèile
896,为什么,wèi shénme
897,味道,wèidào
898,温度,wēndù
899,文化,wénhuà
900,文章,wénzhāng
901,问,wèn
902,问题,wèntí
903,我,wǒ
904,我们,wǒmen
905,握手,wòshǒu
906,污染,wūrǎn
907,无,wú
908,无聊,wúliáo
909,无论,wúlùn
910,五,wǔ
911,误会,wùhuì
912,西,xī
913,西瓜,xīguā
914,西红柿,xīhóngshì
915,希望,xīwàng
916,吸引,xīyǐn
917,习惯,xíguàn
918,洗,xǐ
919,洗手间,xǐshǒujiān
920,洗衣机,xǐyījī
921,洗澡,xǐzǎo
922,喜欢,xǐhuan
923,夏,xià
924,下,xià
925,下午,xiàwǔ
926,下雨,xià yǔ
927,先,xiān
928,先生,xiānsheng
929,咸,xián
930,现代,xiàndài
931,现在,xiànzài
932,羡慕,xiànmù
933,限制,xiànzhì
934,香,xiāng
935,香蕉,xiāngjiāo
936,相反,xiāngfǎn
937,相同,xiāngtóng
938,相信,xiāngxìn
939,详细,xiángxì
940,响,xiǎng
941,想,xiǎng
942,向,xiàng
943,像,xiàng
944,消息,xiāoxi
945,小,xiǎo
946,小姐,xiǎojiě
947,小时,xiǎoshí
948,小说,xiǎoshuō
949,小心,xiǎoxīn
950,笑,xiào
951,笑话,xiàohua
952,效果,xiàoguǒ
953,校长,xiàozhǎng
954,些,xiē
955,鞋,xié
956,写,xiě
957,谢谢,xièxie
958,新,xīn
959,新闻,xīnwén
960,新鲜,xīnxiān
961,辛苦,xīnkǔ
962,心情,xīnqíng
963,信,xìn
964,信任,xìnrèn
965,信心,xìnxīn
966,信用卡,xìnyòngkǎ
967,兴奋,xīngfèn
968,星期,xīngqī
969,行,xíng
970,行李箱,xínglixiāng
971,醒,xǐng
972,姓,xìng
973,性别,xìngbié
974,性格,xìnggé
975,幸福,xìngfú
976,兴趣,xìngqù
977,熊猫,xióngmāo
978,修,xiū
979,休息,xiūxi
980,需要,xūyào
981,许多,xǔduō
982,选择,xuǎnzé
983,学生,xuésheng
984,学习,xuéxí
985,学校,xuéxiào
986,雪,xuě
987,血,xuè
988,压力,yālì
989,牙膏,yágāo
